movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
star trek: insurrection,action adventure sci-fi thriller,alien captain commander conspiracy planet,levar burton,jonathan frakes,michael dorn,jonathan frakes,action adventure sci-fi thriller alien captain commander conspiracy planet levar burton jonathan frakes michael dorn jonathan frakes
battle los angeles,action sci-fi,alien extraterrestrial invasion marine mission,noel fisher,jim parrack,ramon rodriguez,jonathan liebesman,action sci-fi alien extraterrestrial invasion marine mission noel fisher jim parrack ramon rodriguez jonathan liebesman
big fish,adventure drama fantasy,dog saved from a fire flashback growing up multiple narrators traveling salesman,steve buscemi,alison lohman,albert finney,tim burton,adventure drama fantasy dog saved from a fire flashback growing up multiple narrators traveling salesman steve buscemi alison lohman albert finney tim burton
wolf,drama horror romance thriller,blood publisher publishing house werewolf wolf,david hyde pierce,peter gerety,ron rifkin,mike nichols,drama horror romance thriller blood publisher publishing house werewolf wolf david hyde pierce peter gerety ron rifkin mike nichols
war horse,drama war,barbed wire british cavalry horse world war one,jeremy irvine,benedict cumberbatch,eddie marsan,steven spielberg,drama war barbed wire british cavalry horse world war one jeremy irvine benedict cumberbatch eddie marsan steven spielberg
the monuments men,drama war,art art expert nazi stolen art soldier world war two,bill murray,matt damon,bob balaban,george clooney,drama war art art expert nazi stolen art soldier world war two bill murray matt damon bob balaban george clooney
the abyss,adventure drama sci-fi thriller,alien estranged couple ocean submarine underwater,michael biehn,todd graff,mary elizabeth mastrantonio,james cameron,adventure drama sci-fi thriller alien estranged couple ocean submarine underwater michael biehn todd graff mary elizabeth mastrantonio james cameron
wall street: money never sleeps,drama,corporate greed crisis economy greed mentor,frank langella,austin pendleton,john buffalo mailer,oliver stone,drama corporate greed crisis economy greed mentor frank langella austin pendleton john buffalo mailer oliver stone
dracula untold,action drama fantasy horror war,death of wife dracula tarantula turk vampire,dominic cooper,sarah gadon,zach mcgowan,gary shore,action drama fantasy horror war death of wife dracula tarantula turk vampire dominic cooper sarah gadon zach mcgowan gary shore
the siege,action thriller,abduction martial law military new york city terrorist,denzel washington,bruce willis,mark valley,edward zwick,action thriller abduction martial law military new york city terrorist denzel washington bruce willis mark valley edward zwick
stardust,adventure family fantasy romance,king magic one word title pirate village,henry cavill,david kelly,nathaniel parker,matthew vaughn,adventure family fantasy romance king magic one word title pirate village henry cavill david kelly nathaniel parker matthew vaughn
seven years in tibet,adventure biography drama history war,austria dalai lama himalaya mountain tibet,brad pitt,mako,victor wong,jean-jacques annaud,adventure biography drama history war austria dalai lama himalaya mountain tibet brad pitt mako victor wong jean-jacques annaud
the dilemma,comedy drama,best friend friend investigation secret two word title,channing tatum,clint howard,chelcie ross,ron howard,comedy drama best friend friend investigation secret two word title channing tatum clint howard chelcie ross ron howard
bad company,action adventure comedy thriller,cia cia agent terrorist twin twin brother,anthony hopkins,brooke smith,garcelle beauvais,joel schumacher,action adventure comedy thriller cia cia agent terrorist twin twin brother anthony hopkins brooke smith garcelle beauvais joel schumacher
doom,action adventure horror sci-fi,commando unit extra chromosome first person shooter special forces teleportation,dwayne johnson,ben daniels,dexter fletcher,andrzej bartkowiak,action adventure horror sci-fi commando unit extra chromosome first person shooter special forces teleportation dwayne johnson ben daniels dexter fletcher andrzej bartkowiak
i spy,action adventure comedy thriller,boxer espionage spy stealth top secret,gary cole,phill lewis,tate taylor,betty thomas,action adventure comedy thriller boxer espionage spy stealth top secret gary cole phill lewis tate taylor betty thomas
underworld: awakening,action fantasy horror,battle cryogenics detective scientist vampire,theo james,stephen rea,sandrine holt,måns mårlind,action fantasy horror battle cryogenics detective scientist vampire theo james stephen rea sandrine holt måns mårlind
rock of ages,comedy drama musical romance,concert love music industry panties pole dancer,james martin kelly,shane hartline,celina beach,adam shankman,comedy drama musical romance concert love music industry panties pole dancer james martin kelly shane hartline celina beach adam shankman
hart's war,drama war,colonel honor lieutenant pilot racism,bruce willis,cole hauser,rory cochrane,gregory hoblit,drama war colonel honor lieutenant pilot racism bruce willis cole hauser rory cochrane gregory hoblit
killer elite,action crime thriller,australia death mentor revenge secret society,jason statham,robert de niro,ben mendelsohn,gary mckendry,action crime thriller australia death mentor revenge secret society jason statham robert de niro ben mendelsohn gary mckendry
rollerball,action sci-fi sport,ball blood skating song year 2005,ll cool j,chris klein,andrew bryniarski,john mctiernan,action sci-fi sport ball blood skating song year 2005 ll cool j chris klein andrew bryniarski john mctiernan
ballistic: ecks vs. sever,action crime sci-fi thriller,blood splatter camera shot from inside human body combat die hard scenario fbi,talisa soto,sandrine holt,gregg henry,wych kaosayananda,action crime sci-fi thriller blood splatter camera shot from inside human body combat die hard scenario fbi talisa soto sandrine holt gregg henry wych kaosayananda
hard rain,action crime drama thriller,dam flood money police sheriff,morgan freeman,minnie driver,randy quaid,mikael salomon,action crime drama thriller dam flood money police sheriff morgan freeman minnie driver randy quaid mikael salomon
osmosis jones,action adventure animation comedy crime family fantasy,blood body egg virus white blood cell,ron howard,brandy norwood,david hyde pierce,bobby farrelly,action adventure animation comedy crime family fantasy blood body egg virus white blood cell ron howard brandy norwood david hyde pierce bobby farrelly
legends of oz: dorothy's return,adventure animation family fantasy musical,jester kansas oz princess tornado,lea michele,oliver platt,jim belushi,will finn,adventure animation family fantasy musical jester kansas oz princess tornado lea michele oliver platt jim belushi will finn
blackhat,action crime drama mystery thriller,chinese computer cybercrime hacker one word title,chris hemsworth,archie kao,brandon molale,michael mann,action crime drama mystery thriller chinese computer cybercrime hacker one word title chris hemsworth archie kao brandon molale michael mann
sky captain and the world of tomorrow,action adventure mystery sci-fi thriller,captain pilot reporter robot scientist,angelina jolie pitt,laurence olivier,bai ling,kerry conran,action adventure mystery sci-fi thriller captain pilot reporter robot scientist angelina jolie pitt laurence olivier bai ling kerry conran
basic instinct 2,crime mystery thriller,drugs murder psychiatrist scotland yard sex,charlotte rampling,indira varma,neil maskell,michael caton-jones,crime mystery thriller drugs murder psychiatrist scotland yard sex charlotte rampling indira varma neil maskell michael caton-jones
escape plan,action crime mystery sci-fi thriller,cia agent escape muslim prison ship,sylvester stallone,50 cent,matt gerald,mikael håfström,action crime mystery sci-fi thriller cia agent escape muslim prison ship sylvester stallone 50 cent matt gerald mikael håfström
the legend of hercules,action adventure fantasy,ancient greece forbidden love hercules king slavery,roxanne mckee,luke newberry,gaia weiss,renny harlin,action adventure fantasy ancient greece forbidden love hercules king slavery roxanne mckee luke newberry gaia weiss renny harlin
the sum of all fears,action drama thriller,analyst cia nuclear bomb nuclear weapons russia,morgan freeman,bruce mcgill,philip baker hall,phil alden robinson,action drama thriller analyst cia nuclear bomb nuclear weapons russia morgan freeman bruce mcgill philip baker hall phil alden robinson
the twilight saga: eclipse,adventure drama fantasy romance,friendship graduation revenge vampire werewolf,robert pattinson,kristen stewart,anna kendrick,david slade,adventure drama fantasy romance friendship graduation revenge vampire werewolf robert pattinson kristen stewart anna kendrick david slade
the score,crime drama thriller,partner running scepter surveillance thief,robert de niro,marlon brando,gary farmer,frank oz,crime drama thriller partner running scepter surveillance thief robert de niro marlon brando gary farmer frank oz
despicable me,animation comedy family,girl minion moon pyramid white picket fence,steve carell,miranda cosgrove,jack mcbrayer,pierre coffin,animation comedy family girl minion moon pyramid white picket fence steve carell miranda cosgrove jack mcbrayer pierre coffin
money train,action comedy crime drama thriller,bare breasts breast loan shark subway train,vincent pastore,robert blake,aida turturro,joseph ruben,action comedy crime drama thriller bare breasts breast loan shark subway train vincent pastore robert blake aida turturro joseph ruben
ted 2,comedy,baby f word fight lawyer marriage,liam neeson,morgan freeman,seth macfarlane,seth macfarlane,comedy baby f word fight lawyer marriage liam neeson morgan freeman seth macfarlane seth macfarlane
agora,adventure drama history romance,christian love philosophy prefect slave,max minghella,ashraf barhom,rupert evans,alejandro amenábar,adventure drama history romance christian love philosophy prefect slave max minghella ashraf barhom rupert evans alejandro amenábar
mystery men,action comedy fantasy sci-fi,bowling rajah sphinx spleen superhero,janeane garofalo,wes studi,eddie izzard,kinka usher,action comedy fantasy sci-fi bowling rajah sphinx spleen superhero janeane garofalo wes studi eddie izzard kinka usher
hall pass,comedy romance,drugged food female frontal nudity male frontal nudity male nudity marriage,jenna fischer,larry joe campbell,stephen merchant,bobby farrelly,comedy romance drugged food female frontal nudity male frontal nudity male nudity marriage jenna fischer larry joe campbell stephen merchant bobby farrelly
the insider,biography drama thriller,cbs cbs news research tobacco whistleblower,al pacino,rip torn,debi mazar,michael mann,biography drama thriller cbs cbs news research tobacco whistleblower al pacino rip torn debi mazar michael mann
the finest hours,action drama history thriller,1950s coast guard oil tanker sinking ship survival,michael raymond-james,abraham benrubi,graham mctavish,craig gillespie,action drama history thriller 1950s coast guard oil tanker sinking ship survival michael raymond-james abraham benrubi graham mctavish craig gillespie
body of lies,action drama thriller,cia jordan middle east spy terrorist,leonardo dicaprio,simon mcburney,michael gaston,ridley scott,action drama thriller cia jordan middle east spy terrorist leonardo dicaprio simon mcburney michael gaston ridley scott
dinner for schmucks,comedy,dinner diorama idiot irs mouse,steve carell,stephanie szostak,bruce greenwood,jay roach,comedy dinner diorama idiot irs mouse steve carell stephanie szostak bruce greenwood jay roach
abraham lincoln: vampire hunter,action fantasy horror,chopping down a tree hanging upside down shopkeeper vampire vampire hunter,rufus sewell,dominic cooper,benjamin walker,timur bekmambetov,action fantasy horror chopping down a tree hanging upside down shopkeeper vampire vampire hunter rufus sewell dominic cooper benjamin walker timur bekmambetov
entrapment,action crime romance thriller,art thief insurance mask master thief reference to iron maiden,will patton,kevin mcnally,maury chaykin,jon amiel,action crime romance thriller art thief insurance mask master thief reference to iron maiden will patton kevin mcnally maury chaykin jon amiel
last man standing,comedy,family relationships husband wife relationship live studio audience sitcom three word title,hector elizondo,kaitlyn dever,nancy travis,,comedy family relationships husband wife relationship live studio audience sitcom three word title hector elizondo kaitlyn dever nancy travis 
the x files,drama mystery sci-fi thriller,agent alien bomb fbi government,martin landau,mitch pileggi,jeffrey demunn,rob bowman,drama mystery sci-fi thriller agent alien bomb fbi government martin landau mitch pileggi jeffrey demunn rob bowman
the last legion,action adventure fantasy war,5th century boy capri roman legion soldier,colin firth,nonso anozie,owen teale,doug lefler,action adventure fantasy war 5th century boy capri roman legion soldier colin firth nonso anozie owen teale doug lefler
saving private ryan,action drama war,army invasion killed in action normandy soldier,tom hanks,vin diesel,matt damon,steven spielberg,action drama war army invasion killed in action normandy soldier tom hanks vin diesel matt damon steven spielberg
need for speed,action crime drama thriller,cross country custom car illegal street racing police officer crushed street racing,rami malek,dominic cooper,ramon rodriguez,scott waugh,action crime drama thriller cross country custom car illegal street racing police officer crushed street racing rami malek dominic cooper ramon rodriguez scott waugh
what women want,comedy fantasy romance,advertising battle of the sexes ex husband ex wife relationship pantyhose telepathy,judy greer,lisa edelstein,loretta devine,nancy meyers,comedy fantasy romance advertising battle of the sexes ex husband ex wife relationship pantyhose telepathy judy greer lisa edelstein loretta devine nancy meyers
ice age,adventure animation comedy family,baby ice ice age sleeping sloth,goran visnjic,stephen root,denis leary,chris wedge,adventure animation comedy family baby ice ice age sleeping sloth goran visnjic stephen root denis leary chris wedge
dreamcatcher,drama horror sci-fi thriller,alien friend maine military woods,morgan freeman,michael o'neill,reece thompson,lawrence kasdan,drama horror sci-fi thriller alien friend maine military woods morgan freeman michael o'neill reece thompson lawrence kasdan
lincoln,biography drama history war,cultural conflict politics president slavery u.s. president,joseph gordon-levitt,hal holbrook,bruce mcgill,steven spielberg,biography drama history war cultural conflict politics president slavery u.s. president joseph gordon-levitt hal holbrook bruce mcgill steven spielberg
the matrix,action sci-fi,artificial reality computer matrix questioning reality simulated reality,keanu reeves,marcus chong,gloria foster,lana wachowski,action sci-fi artificial reality computer matrix questioning reality simulated reality keanu reeves marcus chong gloria foster lana wachowski
apollo 13,adventure drama history,cape kennedy news footage reference to christopher columbus rocket trapped in space,tom hanks,miko hughes,kathleen quinlan,ron howard,adventure drama history cape kennedy news footage reference to christopher columbus rocket trapped in space tom hanks miko hughes kathleen quinlan ron howard
total recall,action sci-fi,ambiguous ending false memory implanted memory memory space colony,ronny cox,rachel ticotin,marshall bell,paul verhoeven,action sci-fi ambiguous ending false memory implanted memory memory space colony ronny cox rachel ticotin marshall bell paul verhoeven
the santa clause 2,comedy family fantasy,christmas magic santa claus son toy,judge reinhold,aisha tyler,eric lloyd,michael lembeck,comedy family fantasy christmas magic santa claus son toy judge reinhold aisha tyler eric lloyd michael lembeck
les misérables,drama musical romance,barricade innkeeper parole rebellion student,hugh jackman,eddie redmayne,anne hathaway,tom hooper,drama musical romance barricade innkeeper parole rebellion student hugh jackman eddie redmayne anne hathaway tom hooper
you've got mail,comedy drama romance,bookstore competing businesses instant messaging new york city shop owner,tom hanks,jean stapleton,dave chappelle,nora ephron,comedy drama romance bookstore competing businesses instant messaging new york city shop owner tom hanks jean stapleton dave chappelle nora ephron
step brothers,comedy,dream friendship karaoke love slacker,will ferrell,adam scott,andrea savage,adam mckay,comedy dream friendship karaoke love slacker will ferrell adam scott andrea savage adam mckay
the mask of zorro,action adventure comedy romance thriller western,19th century california revenge training zorro,anthony hopkins,tony amendola,stuart wilson,martin campbell,action adventure comedy romance thriller western 19th century california revenge training zorro anthony hopkins tony amendola stuart wilson martin campbell
due date,comedy drama,actor aspiring actor birth misadventure suitcase,robert downey jr.,rza,matt walsh,todd phillips,comedy drama actor aspiring actor birth misadventure suitcase robert downey jr. rza matt walsh todd phillips
unbroken,biography drama sport war,emaciation male nudity plane crash prisoner of war torture,finn wittrock,jack o'connell,alex russell,angelina jolie pitt,biography drama sport war emaciation male nudity plane crash prisoner of war torture finn wittrock jack o'connell alex russell angelina jolie pitt
space cowboys,action adventure thriller,nasa old age satellite space space shuttle,clint eastwood,courtney b. vance,william devane,clint eastwood,action adventure thriller nasa old age satellite space space shuttle clint eastwood courtney b. vance william devane clint eastwood
cliffhanger,action adventure thriller,money mountain rocky mountains snow suitcase,sylvester stallone,leon,janine turner,renny harlin,action adventure thriller money mountain rocky mountains snow suitcase sylvester stallone leon janine turner renny harlin
broken arrow,action crime thriller,captain desert major park ranger utah,delroy lindo,samantha mathis,bob gunton,john woo,action crime thriller captain desert major park ranger utah delroy lindo samantha mathis bob gunton john woo
the kid,comedy family fantasy,altering history cartoon on tv childhood image consultant one two combo,bruce willis,lily tomlin,daniel von bargen,jon turteltaub,comedy family fantasy altering history cartoon on tv childhood image consultant one two combo bruce willis lily tomlin daniel von bargen jon turteltaub
world trade center,drama history thriller,based on true story police rescue rubble trapped,nicolas cage,jay hernandez,armando riesco,oliver stone,drama history thriller based on true story police rescue rubble trapped nicolas cage jay hernandez armando riesco oliver stone
mona lisa smile,drama,art college school student wellesley college,julia roberts,kirsten dunst,marian seldes,mike newell,drama art college school student wellesley college julia roberts kirsten dunst marian seldes mike newell
the dictator,comedy romance,dictator hotel oil overalls sunglasses,sayed badreya,aasif mandvi,horatio sanz,larry charles,comedy romance dictator hotel oil overalls sunglasses sayed badreya aasif mandvi horatio sanz larry charles
eyes wide shut,drama mystery thriller,doctor orgy party pianist sexual fantasy,tom cruise,vinessa shaw,sydney pollack,stanley kubrick,drama mystery thriller doctor orgy party pianist sexual fantasy tom cruise vinessa shaw sydney pollack stanley kubrick
annie,comedy drama family musical,billionaire business tycoon mayoral candidate penthouse reference to star trek,quvenzhané wallis,dorian missick,david zayas,will gluck,comedy drama family musical billionaire business tycoon mayoral candidate penthouse reference to star trek quvenzhané wallis dorian missick david zayas will gluck
focus,comedy crime drama romance,con artist con man deception rivalry seduction,will smith,adrian martinez,gerald mcraney,glenn ficarra,comedy crime drama romance con artist con man deception rivalry seduction will smith adrian martinez gerald mcraney glenn ficarra
this means war,action comedy romance,best friend cia cia agent dating undercover,tom hardy,abigail spencer,warren christie,mcg,action comedy romance best friend cia cia agent dating undercover tom hardy abigail spencer warren christie mcg
blade: trinity,action adventure fantasy horror sci-fi thriller,blade blood dracula vampire hunter vampire slayer,ryan reynolds,natasha lyonne,john michael higgins,david s. goyer,action adventure fantasy horror sci-fi thriller blade blood dracula vampire hunter vampire slayer ryan reynolds natasha lyonne john michael higgins david s. goyer
red dawn,action drama war,guerrilla high school invasion soviet wolverine,lea thompson,jennifer grey,william smith,john milius,action drama war guerrilla high school invasion soviet wolverine lea thompson jennifer grey william smith john milius
primary colors,comedy drama,campaigning candidate election governor president,maura tierney,adrian lester,paul guilfoyle,mike nichols,comedy drama campaigning candidate election governor president maura tierney adrian lester paul guilfoyle mike nichols
resident evil: retribution,action horror sci-fi thriller,corporation fight rescue umbrella zombie,milla jovovich,boris kodjoe,bingbing li,paul w.s. anderson,action horror sci-fi thriller corporation fight rescue umbrella zombie milla jovovich boris kodjoe bingbing li paul w.s. anderson
death race,action sci-fi thriller,armored car car murder prison warden,jason statham,max ryan,joan allen,paul w.s. anderson,action sci-fi thriller armored car car murder prison warden jason statham max ryan joan allen paul w.s. anderson
the long kiss goodnight,action crime drama mystery thriller,amnesia chase foot chase strong female character vomiting,melina kanakaredes,craig bierko,yvonne zima,renny harlin,action crime drama mystery thriller amnesia chase foot chase strong female character vomiting melina kanakaredes craig bierko yvonne zima renny harlin
proof of life,action drama thriller,jungle pipeline prisoner ransom south america,pamela reed,alun armstrong,michael kitchen,taylor hackford,action drama thriller jungle pipeline prisoner ransom south america pamela reed alun armstrong michael kitchen taylor hackford
zathura: a space adventure,action adventure comedy family fantasy sci-fi,2000s coke meeting future self reference to spongebob squarepants sony,kristen stewart,josh hutcherson,jonah bobo,jon favreau,action adventure comedy family fantasy sci-fi 2000s coke meeting future self reference to spongebob squarepants sony kristen stewart josh hutcherson jonah bobo jon favreau
fight club,drama,anti establishment dark humor fighting multiple personality disorder surprise ending,brad pitt,meat loaf,eugenie bondurant,david fincher,drama anti establishment dark humor fighting multiple personality disorder surprise ending brad pitt meat loaf eugenie bondurant david fincher
we are marshall,drama sport,coach football football team marshall university university,matthew mcconaughey,kimberly williams-paisley,brian geraghty,mcg,drama sport coach football football team marshall university university matthew mcconaughey kimberly williams-paisley brian geraghty mcg
the missing,crime drama mystery,france journalist limp police detective reporter,jason flemyng,james nesbitt,frances o'connor,,crime drama mystery france journalist limp police detective reporter jason flemyng james nesbitt frances o'connor 
hudson hawk,action adventure comedy,blackmail burglar critically bashed leonardo da vinci prison,bruce willis,james coburn,richard e. grant,michael lehmann,action adventure comedy blackmail burglar critically bashed leonardo da vinci prison bruce willis james coburn richard e. grant michael lehmann
lucky numbers,comedy crime,celebrity lottery murder snowmobile weatherman,michael rapaport,michael moore,richard schiff,nora ephron,comedy crime celebrity lottery murder snowmobile weatherman michael rapaport michael moore richard schiff nora ephron
"i, frankenstein",action fantasy sci-fi thriller,army creature demon frankenstein gargoyle,caitlin stasey,kevin grevioux,miranda otto,stuart beattie,action fantasy sci-fi thriller army creature demon frankenstein gargoyle caitlin stasey kevin grevioux miranda otto stuart beattie
oliver twist,crime drama,boy character name in title orphan pickpocket workhouse,ian mcneice,barney clark,tony noble,roman polanski,crime drama boy character name in title orphan pickpocket workhouse ian mcneice barney clark tony noble roman polanski
elektra,action crime fantasy thriller,assassin battle heroine martial arts spin off,jennifer garner,cary-hiroyuki tagawa,goran visnjic,rob bowman,action crime fantasy thriller assassin battle heroine martial arts spin off jennifer garner cary-hiroyuki tagawa goran visnjic rob bowman
sin city: a dame to kill for,action crime thriller,box office flop female frontal nudity female rear nudity jackpot rescue,joseph gordon-levitt,bruce willis,eva green,frank miller,action crime thriller box office flop female frontal nudity female rear nudity jackpot rescue joseph gordon-levitt bruce willis eva green frank miller
random hearts,drama mystery romance,death plane crash police police sergeant politician,harrison ford,kristin scott thomas,bill cobbs,sydney pollack,drama mystery romance death plane crash police police sergeant politician harrison ford kristin scott thomas bill cobbs sydney pollack
everest,adventure biography drama history sport thriller,blizzard mount everest mountain mountain climbing snow,michael kelly,martin henderson,tom goodman-hill,baltasar kormákur,adventure biography drama history sport thriller blizzard mount everest mountain mountain climbing snow michael kelly martin henderson tom goodman-hill baltasar kormákur
perfume: the story of a murderer,crime drama fantasy,18th century perfume scent sense of smell smell,michael smiley,david calder,simon chandler,tom tykwer,crime drama fantasy 18th century perfume scent sense of smell smell michael smiley david calder simon chandler tom tykwer
austin powers in goldmember,action comedy crime,fem bot prison seductive fembot spy time travel,verne troyer,josh zuckerman,robert wagner,jay roach,action comedy crime fem bot prison seductive fembot spy time travel verne troyer josh zuckerman robert wagner jay roach
astro boy,action animation comedy family sci-fi,betrayal futuristic gladiator robot scientist,nicolas cage,charlize theron,dee bradley baker,david bowers,action animation comedy family sci-fi betrayal futuristic gladiator robot scientist nicolas cage charlize theron dee bradley baker david bowers
jurassic park,adventure sci-fi thriller,dinosaur jurassic park survival theme park tyrannosaurus rex,wayne knight,ariana richards,bob peck,steven spielberg,adventure sci-fi thriller dinosaur jurassic park survival theme park tyrannosaurus rex wayne knight ariana richards bob peck steven spielberg
wyatt earp,adventure biography crime drama western,historically inaccurate name calling penis slur vomiting wyatt earp,dennis quaid,catherine o'hara,isabella rossellini,lawrence kasdan,adventure biography crime drama western historically inaccurate name calling penis slur vomiting wyatt earp dennis quaid catherine o'hara isabella rossellini lawrence kasdan
clear and present danger,action crime drama thriller,cia colombia colombian drug cartel drugs president,harrison ford,dean jones,raymond cruz,phillip noyce,action crime drama thriller cia colombia colombian drug cartel drugs president harrison ford dean jones raymond cruz phillip noyce
dragon blade,action adventure drama history,child fugitive final battle martial art silk road sword,si won choi,peng lin,sung-jun yoo,daniel lee,action adventure drama history child fugitive final battle martial art silk road sword si won choi peng lin sung-jun yoo daniel lee
littleman,comedy crime,diamond infant parody spoof sports violence,chazz palminteri,brittany daniel,john witherspoon,keenen ivory wayans,comedy crime diamond infant parody spoof sports violence chazz palminteri brittany daniel john witherspoon keenen ivory wayans
u-571,action war,battle historically inaccurate submarine movie u boat world war two,matthew mcconaughey,thomas kretschmann,david keith,jonathan mostow,action war battle historically inaccurate submarine movie u boat world war two matthew mcconaughey thomas kretschmann david keith jonathan mostow
the american president,comedy drama romance,lobbyist president senator state dinner widower,shawna waldron,samantha mathis,wendie malick,rob reiner,comedy drama romance lobbyist president senator state dinner widower shawna waldron samantha mathis wendie malick rob reiner
the love guru,comedy romance sport,bloopers during credits bucket of popcorn chastity belt guru toronto maple leafs,justin timberlake,romany malco,verne troyer,marco schnabel,comedy romance sport bloopers during credits bucket of popcorn chastity belt guru toronto maple leafs justin timberlake romany malco verne troyer marco schnabel
3000 miles to graceland,action comedy crime thriller,casino elvis impersonator gun heist rascal,jon lovitz,bokeem woodbine,ice-t,demian lichtenstein,action comedy crime thriller casino elvis impersonator gun heist rascal jon lovitz bokeem woodbine ice-t demian lichtenstein
the hateful eight,crime drama mystery thriller western,blizzard blood vomiting bounty hunter murder shot in the crotch,craig stark,jennifer jason leigh,zoë bell,quentin tarantino,crime drama mystery thriller western blizzard blood vomiting bounty hunter murder shot in the crotch craig stark jennifer jason leigh zoë bell quentin tarantino
blades of glory,comedy sport,competition fight ice jock strap nintendo game boy advance,will ferrell,amy poehler,jon heder,josh gordon,comedy sport competition fight ice jock strap nintendo game boy advance will ferrell amy poehler jon heder josh gordon
hop,adventure animation comedy family fantasy,drummer easter easter bunny piaggio vespa gtv 250 slacker,gary cole,elizabeth perkins,chelsea handler,tim hill,adventure animation comedy family fantasy drummer easter easter bunny piaggio vespa gtv 250 slacker gary cole elizabeth perkins chelsea handler tim hill
300,action drama fantasy war,battle epic greece spartan warrior,gerard butler,michael fassbender,vincent regan,zack snyder,action drama fantasy war battle epic greece spartan warrior gerard butler michael fassbender vincent regan zack snyder
meet the fockers,comedy romance,bare butt defecation father in law son in law relationship nurse sexual innuendo in title,robert de niro,blythe danner,teri polo,jay roach,comedy romance bare butt defecation father in law son in law relationship nurse sexual innuendo in title robert de niro blythe danner teri polo jay roach
marley & me,comedy drama family,box office hit dog dog movie florida pet name in title,eric dane,kathleen turner,haley bennett,david frankel,comedy drama family box office hit dog dog movie florida pet name in title eric dane kathleen turner haley bennett david frankel
the green mile,crime drama fantasy mystery,1930s death row inmate healing prison guard southern u.s.,tom hanks,jeffrey demunn,michael jeter,frank darabont,crime drama fantasy mystery 1930s death row inmate healing prison guard southern u.s. tom hanks jeffrey demunn michael jeter frank darabont
wild hogs,action adventure comedy,biker gang friend motorcycle new mexico road trip,jill hennessy,tichina arnold,drew sidora,walt becker,action adventure comedy biker gang friend motorcycle new mexico road trip jill hennessy tichina arnold drew sidora walt becker
chicken little,adventure animation comedy family sci-fi,alien invasion chicken fish friend panic,catherine o'hara,fred willard,amy sedaris,mark dindal,adventure animation comedy family sci-fi alien invasion chicken fish friend panic catherine o'hara fred willard amy sedaris mark dindal
gone girl,crime drama mystery thriller,based on novel disappearance missing person missing wife murder suspect,patrick fugit,sela ward,emily ratajkowski,david fincher,crime drama mystery thriller based on novel disappearance missing person missing wife murder suspect patrick fugit sela ward emily ratajkowski david fincher
the bourne identity,action mystery thriller,amnesia assassin money political thriller three word title,matt damon,josh hamilton,nicky naudé,doug liman,action mystery thriller amnesia assassin money political thriller three word title matt damon josh hamilton nicky naudé doug liman
goldeneye,action adventure thriller,agent cossack official james bond series russia russian,izabella scorupco,joe don baker,tchéky karyo,martin campbell,action adventure thriller agent cossack official james bond series russia russian izabella scorupco joe don baker tchéky karyo martin campbell
the general's daughter,drama mystery thriller,army cid cover up military murder woman in military,daniel von bargen,timothy hutton,clarence williams iii,simon west,drama mystery thriller army cid cover up military murder woman in military daniel von bargen timothy hutton clarence williams iii simon west
the truman show,comedy drama sci-fi,controlled environment fictional reality show hidden camera innocence lost simulated reality,natascha mcelhone,noah emmerich,peter krause,peter weir,comedy drama sci-fi controlled environment fictional reality show hidden camera innocence lost simulated reality natascha mcelhone noah emmerich peter krause peter weir
the prince of egypt,adventure animation biography drama family fantasy musical,ancient egypt hebrew nudity pharaoh title directed by female,martin short,aria noelle curzon,eden riegel,brenda chapman,adventure animation biography drama family fantasy musical ancient egypt hebrew nudity pharaoh title directed by female martin short aria noelle curzon eden riegel brenda chapman
daddy day care,comedy family,bloopers during credits breakfast cereal department store ride face painting sponge bob square pants slippers,anjelica huston,lisa edelstein,jeff garlin,steve carr,comedy family bloopers during credits breakfast cereal department store ride face painting sponge bob square pants slippers anjelica huston lisa edelstein jeff garlin steve carr
2 guns,action comedy crime drama thriller,close up of breasts female nudity fugitive money undercover,denzel washington,patrick fischler,fred ward,baltasar kormákur,action comedy crime drama thriller close up of breasts female nudity fugitive money undercover denzel washington patrick fischler fred ward baltasar kormákur
cats & dogs,action comedy family fantasy,cartoon on tv cat dog scientist secret agent,carol ann susi,elizabeth perkins,miriam margolyes,lawrence guterman,action comedy family fantasy cartoon on tv cat dog scientist secret agent carol ann susi elizabeth perkins miriam margolyes lawrence guterman
the italian job,action crime thriller,gold heist revenge traffic jam venice italy,jason statham,charlize theron,jimmy shubert,f. gary gray,action crime thriller gold heist revenge traffic jam venice italy jason statham charlize theron jimmy shubert f. gary gray
two weeks notice,comedy romance,developer divorce lawyer love new york city,dorian missick,alicia witt,dana ivey,marc lawrence,comedy romance developer divorce lawyer love new york city dorian missick alicia witt dana ivey marc lawrence
antz,adventure animation comedy family,ant friend princess soldier worker,sylvester stallone,woody allen,anne bancroft,eric darnell,adventure animation comedy family ant friend princess soldier worker sylvester stallone woody allen anne bancroft eric darnell
couples retreat,comedy,couple island marriage tropical voyeurism,jon favreau,kristin davis,tasha smith,peter billingsley,comedy couple island marriage tropical voyeurism jon favreau kristin davis tasha smith peter billingsley
days of thunder,action drama sport,driver hot shot racing stock car driver team,tom cruise,robert duvall,randy quaid,tony scott,action drama sport driver hot shot racing stock car driver team tom cruise robert duvall randy quaid tony scott
